Date,Description,Amount
2026-04-01,WALMART SUPERCENTER #2291,-84.32
2026-04-01,SALARY DEPOSIT - ACME CORP,3200.00
2026-04-02,STARBUCKS STORE 5512,-6.75
2026-04-02,UBER TRIP 8842,-14.50
2026-04-03,NETFLIX.COM SUBSCRIPTION,-15.99
2026-04-03,AMAZON.COM ORDER 112-993,-58.21
2026-04-04,SHELL OIL FUEL,-42.10
2026-04-05,RENT PAYMENT - GREENVIEW APTS,-1450.00
2026-04-06,WHOLE FOODS MARKET,-112.45
2026-04-07,SPOTIFY PREMIUM,-10.99
2026-04-08,CVS PHARMACY #4471,-23.10
2026-04-09,ELECTRICITY BILL PAYMENT,-95.00
2026-04-10,DOMINOS PIZZA,-28.40
2026-04-11,AT&T INTERNET BILL,-65.00
2026-04-12,TARGET STORE 1182,-77.60
2026-04-13,GYM MEMBERSHIP MONTHLY,-39.99
2026-04-14,UBER EATS ORDER,-22.30
2026-04-15,PAYCHECK - ACME CORP,3200.00
2026-04-16,COSTCO WHOLESALE,-203.55
2026-04-17,AMC THEATRE TICKETS,-32.00
2026-04-18,VENMO TRANSFER TO J SMITH,-50.00
2026-04-19,CHEVRON GAS STATION,-38.75
2026-04-20,TRADER JOES,-64.20
2026-04-21,BEST BUY ELECTRONICS,-145.00
2026-04-22,DOCTOR VISIT COPAY,-40.00
2026-04-23,STARBUCKS STORE 8821,-5.40
2026-04-24,WATER BILL PAYMENT,-30.00
2026-04-25,AIRBNB BOOKING,-210.00
2026-04-26,KROGER GROCERY,-91.18
2026-04-27,UDEMY COURSE PURCHASE,-19.99
2026-04-28,CREDIT CARD PAYMENT,-300.00
2026-04-29,INTEREST CREDIT,4.21
2026-04-30,MCDONALD'S #2210,-9.85
2026-05-01,SALARY DEPOSIT - ACME CORP,3200.00
2026-05-02,WALMART SUPERCENTER #2291,-67.40
2026-05-03,UBER TRIP 9012,-11.20
2026-05-04,NETFLIX.COM SUBSCRIPTION,-15.99
2026-05-05,RENT PAYMENT - GREENVIEW APTS,-1450.00
2026-05-06,ZOMATO ORDER,-18.50
2026-05-07,ELECTRICITY BILL PAYMENT,-102.30
2026-05-08,AMAZON.COM ORDER 113-220,-34.10
2026-05-09,SPOTIFY PREMIUM,-10.99
2026-05-10,WHOLE FOODS MARKET,-98.75
2026-05-11,SHELL OIL FUEL,-45.60
2026-05-12,GYM MEMBERSHIP MONTHLY,-39.99
2026-05-13,CVS PHARMACY #4471,-15.20
2026-05-14,AT&T INTERNET BILL,-65.00
2026-05-15,PAYCHECK - ACME CORP,3200.00
2026-05-16,COSTCO WHOLESALE,-178.90
2026-05-17,STARBUCKS STORE 5512,-7.10
2026-05-18,VENMO TRANSFER TO J SMITH,-50.00
2026-05-19,FLIGHT BOOKING INDIGO,-180.00
2026-05-20,TRADER JOES,-72.30
